,geo,text,user,location
129,, 27yo Male with abdominal pain. Nissen Fundoplication for #GERD 1 week ago. What’s your diagnosis and etiology for this pat…,haticetopcu2000,istanbul
130,,The Declararion of Principles on the #GERD allows Ethiopia to fill the dam by its own. That’s consistent with Inter… ,NileAffairs,"Washington, DC"
131,," urged Ethiopia, Egypt and Sudan to adress their dispute on the #GERD through  negotiation. Indeed… ",NileAffairs,"Washington, DC"
132,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",MihretKebere,"Addis Ababa, Ethiopia"
133,, Ethiopia does not have legal obligation to seek approval of Egypt and Sudan nor anyone else to fill its Dam.#GERD ht…,mickyy_utd,at your mommas
134,,"""He notes progress in the negotiations b/n #Egypt,, #Ethiopia &amp; #Sudan thus far &amp; encourages the parties to perseve… ",EthioEmbassyCA,Canada
135,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",BalchaEyob,
136,, They're blinded by hate towards Tigrayans. So long as PM Abiy's party stands against Tigrayans they're wi… ,delina13,USA
137,,"UN head urges #Egypt, #Ethiopia and #Sudan to resolve #GERD crisis peacefully",HassenRazag,Addis Ababa
138,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,Fatmahemisa1,"Cairo, Egypt"
139,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,MohamedSaiedF,Egypt
140,," Briefings covered national, regional &amp; continental level values that can be gained in building #GERD &amp; stressed #Ethiopia’…",EthioEmbKigali,Rwanda
141,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,SegelGazeta,MN 
142,,"Cooperation based on common understanding, mutual benefit, good faith, win-win and the principles of international… ",Mesfinteklu,"New York, NY"
143,, The Ambassadors called on the need to solve African problems through Africans highlighting that countries in Africa or the…,EthioEmbassyCA,Canada
144,," Briefings covered national, regional &amp; continental level values that can be gained in building #GERD &amp; stressed #Ethiopia’…",EthioEmbassyCA,Canada
145,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",EthioEmbassyCA,Canada
146,,"#UN Secretary-General  underscores 2015 Declaration of Principles on #GERD, cooperation based on co… ",DailyNewsEgypt,Egypt
147,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",AnwarAdushe,🏔🌿Hidden Khat Leaf
148,,"UN chief António Guterres is encouraging #Egypt, #Ethiopia and #Sudan to persevere with efforts to overcome their d… ",SarahElSheikh2,Cairo
149,, #Ethiopia #GERD Statement attributable to the Spokesman for the Secretary-General on the Grand Ethiopian Renaissance Dam…,bahrzaf,Addis - Charlottetown - Ottawa
150,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,SarahElSheikh2,Cairo
151,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,MohamedMFDarwis,
152,,#Ethiopia #GERD Statement attributable to the Spokesman for the Secretary-General on the Grand Ethiopian Renaissanc… ,getachew_zeki,"Calgary, Canada"
153,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,renatarecreio,brasil
154,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,kaffuwa,
155,," Mnuchin, #Kushner &amp; Impeached45 tried to force Ethiopia into giving away control of the #GERD to the #ArabLeague.#Ethiopia…",TimeToSayGood15,
156,, All parties should always remember #Ethiopia went above and beyond already. UN General Assembly res… ,itsmydam1,
157,,"Clean energy is essential for human health and wellbeing, and it minimises air pollution. #GERD will be a major sou… ",zerubbabel_G,"Nairobi, Kenya"
158,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,helenesallon,"Paris, France"
159,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,izyanizzatihali,
160,, #Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' heads o…,Morning92038196,
161,,#Sudan’s PM Abdullah Hamdouk said in a virtual meeting with #Egypt’s PM Mostafa Madbouly and the two countries' hea… ,DailyNewsEgypt,Egypt
162,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,PreciseConsult,#Ethiopia. The Horn of #Africa
163,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",AfricEnergyNet,Africa
164,, #EU backs strategic importance of #GERD to #Ethiopia  ,ALEXTAREKEGN2,"Addis Abeba,Ethiopia"
165,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,Mesay22784615,Ethiopia
166,,"Mnuchin, #Kushner &amp; Impeached45 tried to force Ethiopia into giving away control of the #GERD to the #ArabLeague.… ",Dr_Asrat,"Santa Monica, CA"
167,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",abraham_ezana,
168,,Gastroesophageal Reflux Disease or (#GERD) is a very common disorder that develops when reflux of the stomach cause… ,iahealth,
169,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,roberagetachew,Ethiopia
170,,  So true. Egypt and the Ottomans use our own interest groups especially those at the peri… ,wolde_yes,ወልቃይት ጠገዴ ሰቲት-ሁመራ ራያ
171,, We co-authored a piece for German Press about Ethio-Egypt  #Nile (#GERD) dispute with my colleague Prof. Russel Miller of…,rago_alamudin,
172,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,HenokAsna,"Takoma Park, MD"
173,, The Ambassadors called on the need to solve African problems through Africans highlighting that countries in Africa or the…,eski1982,Sand Land
174,," Briefings covered national, regional &amp; continental level values that can be gained in building #GERD &amp; stressed #Ethiopia’…",eski1982,Sand Land
175,,"If you suffer from #GERD symptoms, these are the vegetables that you should be planting in your garden this summer:… ",TampaBayReflux,
176,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,Mesay22784615,Ethiopia
177,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,GideyMichael,"Vancouver, British Columbia"
178,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,SolomonMKassa,"VA, USA"
